x	y	z
6.044	-0.236911	0.935022
6.045	-0.23594	0.935404
6.046	-0.234968	0.935785
6.047	-0.233996	0.936166
6.048	-0.233023	0.936545
6.049	-0.232051	0.936924
6.05	-0.231078	0.937302
6.051	-0.230105	0.937679
6.052	-0.229131	0.938056
6.053	-0.228158	0.938431
6.054	-0.227184	0.938806
6.055	-0.22621	0.939179
6.056	-0.225236	0.939552
6.057	-0.224262	0.939924
6.058	-0.223287	0.940295
6.059	-0.222312	0.940665
6.06	-0.221337	0.941034
6.061	-0.220362	0.941403
6.062	-0.219386	0.94177
6.063	-0.21841	0.942137
6.064	-0.217434	0.942503
6.065	-0.216458	0.942868
6.066	-0.215482	0.943232
6.067	-0.214505	0.943595
6.068	-0.213528	0.943957
6.069	-0.212551	0.944319
6.07	-0.211574	0.944679
6.071	-0.210597	0.945039
6.072	-0.209619	0.945398
6.073	-0.208641	0.945756
6.074	-0.207663	0.946113
6.075	-0.206685	0.946469
6.076	-0.205706	0.946824
6.077	-0.204728	0.947179
6.078	-0.203749	0.947532
6.079	-0.202769	0.947885
6.08	-0.20179	0.948237
6.081	-0.200811	0.948588
6.082	-0.199831	0.948938
6.083	-0.198851	0.949287
6.084	-0.197871	0.949635
6.085	-0.19689	0.949982
6.086	-0.19591	0.950329
6.087	-0.194929	0.950674
6.088	-0.193948	0.951019
6.089	-0.192967	0.951363
6.09	-0.191986	0.951706
6.091	-0.191004	0.952048
6.092	-0.190023	0.952389
6.093	-0.189041	0.952729
6.094	-0.188059	0.953068
6.095	-0.187077	0.953407
6.096	-0.186094	0.953744
6.097	-0.185111	0.954081
6.098	-0.184129	0.954417
6.099	-0.183146	0.954752
6.1	-0.182163	0.955086
6.101	-0.181179	0.955419
6.102	-0.180196	0.955751
6.103	-0.179212	0.956082
6.104	-0.178228	0.956412
6.105	-0.177244	0.956742
6.106	-0.17626	0.95707
6.107	-0.175275	0.957398
6.108	-0.174291	0.957725
6.109	-0.173306	0.958051
6.11	-0.172321	0.958376
6.111	-0.171336	0.9587
6.112	-0.17035	0.959023
6.113	-0.169365	0.959345
6.114	-0.168379	0.959667
6.115	-0.167394	0.959987
6.116	-0.166408	0.960307
6.117	-0.165421	0.960625
6.118	-0.164435	0.960943
6.119	-0.163449	0.96126
6.12	-0.162462	0.961576
6.121	-0.161475	0.961891
6.122	-0.160488	0.962205
6.123	-0.159501	0.962518
6.124	-0.158514	0.96283
6.125	-0.157526	0.963141
6.126	-0.156539	0.963452
6.127	-0.155551	0.963761
6.128	-0.154563	0.96407
6.129	-0.153575	0.964378
6.13	-0.152587	0.964684
6.131	-0.151599	0.96499
6.132	-0.15061	0.965295
6.133	-0.149621	0.965599
6.134	-0.148633	0.965902
6.135	-0.147644	0.966205
6.136	-0.146654	0.966506
6.137	-0.145665	0.966806
6.138	-0.144676	0.967106
6.139	-0.143686	0.967404
6.14	-0.142697	0.967702
6.141	-0.141707	0.967998
6.142	-0.140717	0.968294
6.143	-0.139727	0.968589
6.144	-0.138736	0.968883
6.145	-0.137746	0.969176
6.146	-0.136755	0.969468
6.147	-0.135765	0.969759
6.148	-0.134774	0.970049
6.149	-0.133783	0.970338
6.15	-0.132792	0.970627
6.151	-0.131801	0.970914
6.152	-0.130809	0.971201
6.153	-0.129818	0.971486
6.154	-0.128826	0.971771
6.155	-0.127835	0.972054
6.156	-0.126843	0.972337
6.157	-0.125851	0.972619
6.158	-0.124859	0.9729
6.159	-0.123866	0.97318
6.16	-0.122874	0.973459
6.161	-0.121882	0.973737
